Geographic_Level,Geographic_Name,Demographic_Level,Demographic_Name,Indicator_Label,Indicator_Category_Label,Month_Week,Week_Ending,ND_Weekly_Estimate,CI_Half_width_95pct,n_unweighted,Suppression_Flag,Current_Season_Week_Ending,Influenza_Season,Legend,95 CI (%),Indicator_Category_Label_Sort,Demographic_Level_Sort,Demographic_Name_Sort,Geographic_Sort,Season_Sort,Legend_Sort
State,California,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,29,5.7422,429,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, California, Overall (18+ years)",23.2 - 34.7,4,1,1,16,3,3160101
State,California,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,4.6,2.9988,429,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, California, Overall (18+ years)",1.6 - 7.6,2,1,1,16,3,3160101
State,California,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,21.5,5.391,429,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, California, Overall (18+ years)",16.1 - 26.9,3,1,1,16,3,3160101
State,California,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,44.9,2.1963,10003,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, California, Overall (18+ years)",42.7 - 47.1,1,1,1,16,3,3160101
State,California,Overall,18+ years,Up-to-date,Yes,January Week 4,,44.9,2.1963,10003,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, California, Overall (18+ years)",42.7 - 47.1,,1,1,16,3,3160101
State,Colorado,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,31.8,5.2081,346,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Colorado, Overall (18+ years)",26.6 - 37.0,4,1,1,17,3,3170101
State,Colorado,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,4.1,2.4134,346,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Colorado, Overall (18+ years)",1.7 - 6.5,2,1,1,17,3,3170101
State,Colorado,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,15.1,4.1419,346,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Colorado, Overall (18+ years)",11.0 - 19.3,3,1,1,17,3,3170101
State,Colorado,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,48.9,1.8426,8508,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Colorado, Overall (18+ years)",47.1 - 50.8,1,1,1,17,3,3170101
State,Colorado,Overall,18+ years,Up-to-date,Yes,January Week 4,,48.9,1.8426,8508,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Colorado, Overall (18+ years)",47.1 - 50.8,,1,1,17,3,3170101
State,Connecticut,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,27.7,12.4248,105,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Connecticut, Overall (18+ years)",15.3 - 40.1,4,1,1,18,3,3180101
State,Connecticut,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,6.8,8.001,105,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Connecticut, Overall (18+ years)",0.0 - 14.8,2,1,1,18,3,3180101
State,Connecticut,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,13.6,10.1754,105,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Connecticut, Overall (18+ years)",3.4 - 23.8,3,1,1,18,3,3180101
State,Connecticut,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,52,3.434,3330,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Connecticut, Overall (18+ years)",48.5 - 55.4,1,1,1,18,3,3180101
State,Connecticut,Overall,18+ years,Up-to-date,Yes,January Week 4,,52,3.434,3330,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Connecticut, Overall (18+ years)",48.5 - 55.4,,1,1,18,3,3180101
State,Delaware,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,33.1,5.046,573,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Delaware, Overall (18+ years)",28.1 - 38.2,4,1,1,19,3,3190101
State,Delaware,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,5.3,2.4332,573,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Delaware, Overall (18+ years)",2.9 - 7.7,2,1,1,19,3,3190101
State,Delaware,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,13.7,3.9715,573,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Delaware, Overall (18+ years)",9.8 - 17.7,3,1,1,19,3,3190101
State,Delaware,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,47.8,1.7877,8671,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Delaware, Overall (18+ years)",46.0 - 49.6,1,1,1,19,3,3190101
State,Delaware,Overall,18+ years,Up-to-date,Yes,January Week 4,,47.8,1.7877,8671,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Delaware, Overall (18+ years)",46.0 - 49.6,,1,1,19,3,3190101
State,District of Columbia,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,20.1,4.8821,415,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, District of Columbia, Overall (18+ years)",15.2 - 25.0,4,1,1,20,3,3200101
State,District of Columbia,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,6.4,3.2583,415,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, District of Columbia, Overall (18+ years)",3.2 - 9.7,2,1,1,20,3,3200101
State,District of Columbia,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,15.3,4.569,415,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, District of Columbia, Overall (18+ years)",10.7 - 19.9,3,1,1,20,3,3200101
State,District of Columbia,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,58.2,1.7466,12035,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, District of Columbia, Overall (18+ years)",56.4 - 59.9,1,1,1,20,3,3200101
State,District of Columbia,Overall,18+ years,Up-to-date,Yes,January Week 4,,58.2,1.7466,12035,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, District of Columbia, Overall (18+ years)",56.4 - 59.9,,1,1,20,3,3200101
State,Florida,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,34.3,9.7434,242,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Florida, Overall (18+ years)",24.6 - 44.1,4,1,1,21,3,3210101
State,Florida,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,8.6,6.2264,242,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Florida, Overall (18+ years)",2.4 - 14.9,2,1,1,21,3,3210101
State,Florida,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,20.3,8.9192,242,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Florida, Overall (18+ years)",11.4 - 29.3,3,1,1,21,3,3210101
State,Florida,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,36.7,2.2219,6688,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Florida, Overall (18+ years)",34.5 - 38.9,1,1,1,21,3,3210101
State,Florida,Overall,18+ years,Up-to-date,Yes,January Week 4,,36.7,2.2219,6688,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Florida, Overall (18+ years)",34.5 - 38.9,,1,1,21,3,3210101
State,Georgia,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,40.6,8.2839,241,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Georgia, Overall (18+ years)",32.3 - 48.9,4,1,1,22,3,3220101
State,Georgia,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,2.6,1.8603,241,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Georgia, Overall (18+ years)",0.7 - 4.4,2,1,1,22,3,3220101
State,Georgia,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,20.2,6.5614,241,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Georgia, Overall (18+ years)",13.6 - 26.7,3,1,1,22,3,3220101
State,Georgia,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,36.7,2.6633,4576,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Georgia, Overall (18+ years)",34.0 - 39.3,1,1,1,22,3,3220101
State,Georgia,Overall,18+ years,Up-to-date,Yes,January Week 4,,36.7,2.6633,4576,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Georgia, Overall (18+ years)",34.0 - 39.3,,1,1,22,3,3220101
State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,31.5,7.6594,277,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Hawaii, Overall (18+ years)",23.8 - 39.1,4,1,1,24,3,3240101
State,Hawaii,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,2.3,2.082,277,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Hawaii, Overall (18+ years)",0.2 - 4.4,2,1,1,24,3,3240101
State,Hawaii,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,18.7,6.4519,277,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Hawaii, Overall (18+ years)",12.3 - 25.2,3,1,1,24,3,3240101
State,Hawaii,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,47.5,1.9283,8972,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Hawaii, Overall (18+ years)",45.5 - 49.4,1,1,1,24,3,3240101
State,Hawaii,Overall,18+ years,Up-to-date,Yes,January Week 4,,47.5,1.9283,8972,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Hawaii, Overall (18+ years)",45.5 - 49.4,,1,1,24,3,3240101
State,Idaho,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,42.6,15.6405,57,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Idaho, Overall (18+ years)",26.9 - 58.2,4,1,1,25,3,3250101
State,Idaho,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,2.6,3.7229,57,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Idaho, Overall (18+ years)",0.0 - 6.3,2,1,1,25,3,3250101
State,Idaho,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,15.7,11.0669,57,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Idaho, Overall (18+ years)",4.6 - 26.7,3,1,1,25,3,3250101
State,Idaho,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,39.1,2.2761,4257,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Idaho, Overall (18+ years)",36.9 - 41.4,1,1,1,25,3,3250101
State,Idaho,Overall,18+ years,Up-to-date,Yes,January Week 4,,39.1,2.2761,4257,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Idaho, Overall (18+ years)",36.9 - 41.4,,1,1,25,3,3250101
State,Illinois,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,32.3,4.3203,820,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Illinois, Overall (18+ years)",28.0 - 36.6,4,1,1,26,3,3260101
State,Illinois,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,6.4,2.235,820,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Illinois, Overall (18+ years)",4.1 - 8.6,2,1,1,26,3,3260101
State,Illinois,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,12.5,3.0925,820,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Illinois, Overall (18+ years)",9.4 - 15.5,3,1,1,26,3,3260101
State,Illinois,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,48.9,1.3861,17502,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Illinois, Overall (18+ years)",47.5 - 50.3,1,1,1,26,3,3260101
State,Illinois,Overall,18+ years,Up-to-date,Yes,January Week 4,,48.9,1.3861,17502,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Illinois, Overall (18+ years)",47.5 - 50.3,,1,1,26,3,3260101
State,Indiana,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,37.4,7.294,292,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Indiana, Overall (18+ years)",30.1 - 44.7,4,1,1,27,3,3270101
State,Indiana,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,4.4,2.6008,292,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Indiana, Overall (18+ years)",1.8 - 7.0,2,1,1,27,3,3270101
State,Indiana,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,14.7,5.0276,292,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Indiana, Overall (18+ years)",9.6 - 19.7,3,1,1,27,3,3270101
State,Indiana,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,43.5,2.229,7863,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Indiana, Overall (18+ years)",41.3 - 45.8,1,1,1,27,3,3270101
State,Indiana,Overall,18+ years,Up-to-date,Yes,January Week 4,,43.5,2.229,7863,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Indiana, Overall (18+ years)",41.3 - 45.8,,1,1,27,3,3270101
State,Iowa,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,42.4,10.5938,59,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Iowa, Overall (18+ years)",31.8 - 53.0,4,1,1,28,3,3280101
State,Iowa,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,2.4,3.4629,59,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Iowa, Overall (18+ years)",0.0 - 5.9,2,1,1,28,3,3280101
State,Iowa,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,6.3,6.1323,59,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Iowa, Overall (18+ years)",0.1 - 12.4,3,1,1,28,3,3280101
State,Iowa,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,48.9,2.7021,4136,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Iowa, Overall (18+ years)",46.2 - 51.6,1,1,1,28,3,3280101
State,Iowa,Overall,18+ years,Up-to-date,Yes,January Week 4,,48.9,2.7021,4136,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Iowa, Overall (18+ years)",46.2 - 51.6,,1,1,28,3,3280101
State,Kansas,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,36.2,6.6365,228,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Kansas, Overall (18+ years)",29.6 - 42.9,4,1,1,29,3,3290101
State,Kansas,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,4.1,2.7478,228,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Kansas, Overall (18+ years)",1.3 - 6.8,2,1,1,29,3,3290101
State,Kansas,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,14.3,5.041,228,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Kansas, Overall (18+ years)",9.3 - 19.4,3,1,1,29,3,3290101
State,Kansas,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,45.3,2.127,6851,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Kansas, Overall (18+ years)",43.2 - 47.5,1,1,1,29,3,3290101
State,Kansas,Overall,18+ years,Up-to-date,Yes,January Week 4,,45.3,2.127,6851,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Kansas, Overall (18+ years)",43.2 - 47.5,,1,1,29,3,3290101
State,Kentucky,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,44.2,11.9682,142,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Kentucky, Overall (18+ years)",32.2 - 56.1,4,1,1,30,3,3300101
State,Kentucky,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,2.6,2.3111,142,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Kentucky, Overall (18+ years)",0.3 - 4.9,2,1,1,30,3,3300101
State,Kentucky,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,9.3,5.8317,142,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Kentucky, Overall (18+ years)",3.4 - 15.1,3,1,1,30,3,3300101
State,Kentucky,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,44,2.1449,6476,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Kentucky, Overall (18+ years)",41.8 - 46.1,1,1,1,30,3,3300101
State,Kentucky,Overall,18+ years,Up-to-date,Yes,January Week 4,,44,2.1449,6476,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Kentucky, Overall (18+ years)",41.8 - 46.1,,1,1,30,3,3300101
State,Louisiana,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,40,6.1471,346,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Louisiana, Overall (18+ years)",33.9 - 46.2,4,1,1,31,3,3310101
State,Louisiana,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,5.1,2.4164,346,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Louisiana, Overall (18+ years)",2.7 - 7.5,2,1,1,31,3,3310101
State,Louisiana,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,15.6,4.6936,346,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Louisiana, Overall (18+ years)",10.9 - 20.3,3,1,1,31,3,3310101
State,Louisiana,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,39.3,2.0294,8648,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Louisiana, Overall (18+ years)",37.2 - 41.3,1,1,1,31,3,3310101
State,Louisiana,Overall,18+ years,Up-to-date,Yes,January Week 4,,39.3,2.0294,8648,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Louisiana, Overall (18+ years)",37.2 - 41.3,,1,1,31,3,3310101
State,Maine,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,31.6,5.4438,410,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Maine, Overall (18+ years)",26.1 - 37.0,4,1,1,32,3,3320101
State,Maine,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,5.3,2.7505,410,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Maine, Overall (18+ years)",2.5 - 8.0,2,1,1,32,3,3320101
State,Maine,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,9.9,3.4013,410,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Maine, Overall (18+ years)",6.5 - 13.3,3,1,1,32,3,3320101
State,Maine,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,53.3,1.7746,10456,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Maine, Overall (18+ years)",51.5 - 55.0,1,1,1,32,3,3320101
State,Maine,Overall,18+ years,Up-to-date,Yes,January Week 4,,53.3,1.7746,10456,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Maine, Overall (18+ years)",51.5 - 55.0,,1,1,32,3,3320101
State,Maryland,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,27.9,8.7632,210,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Maryland, Overall (18+ years)",19.2 - 36.7,4,1,1,33,3,3330101
State,Maryland,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,3.3,3.9059,210,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Maryland, Overall (18+ years)",0.0 - 7.2,2,1,1,33,3,3330101
State,Maryland,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,16,7.4822,210,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Maryland, Overall (18+ years)",8.5 - 23.5,3,1,1,33,3,3330101
State,Maryland,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,52.8,2.5548,6977,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Maryland, Overall (18+ years)",50.2 - 55.3,1,1,1,33,3,3330101
State,Maryland,Overall,18+ years,Up-to-date,Yes,January Week 4,,52.8,2.5548,6977,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Maryland, Overall (18+ years)",50.2 - 55.3,,1,1,33,3,3330101
State,Massachusetts,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,26.4,5.8658,357,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Massachusetts, Overall (18+ years)",20.5 - 32.3,4,1,1,34,3,3340101
State,Massachusetts,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,4.6,2.8339,357,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Massachusetts, Overall (18+ years)",1.8 - 7.4,2,1,1,34,3,3340101
State,Massachusetts,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,11.7,4.5525,357,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Massachusetts, Overall (18+ years)",7.1 - 16.2,3,1,1,34,3,3340101
State,Massachusetts,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,57.3,1.9387,10132,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Massachusetts, Overall (18+ years)",55.4 - 59.2,1,1,1,34,3,3340101
State,Massachusetts,Overall,18+ years,Up-to-date,Yes,January Week 4,,57.3,1.9387,10132,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Massachusetts, Overall (18+ years)",55.4 - 59.2,,1,1,34,3,3340101
State,Michigan,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,31.6,10.2275,140,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Michigan, Overall (18+ years)",21.3 - 41.8,4,1,1,35,3,3350101
State,Michigan,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,7.8,5.66,140,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Michigan, Overall (18+ years)",2.1 - 13.5,2,1,1,35,3,3350101
State,Michigan,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,14.9,7.8536,140,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Michigan, Overall (18+ years)",7.0 - 22.7,3,1,1,35,3,3350101
State,Michigan,Overall,18+ years,4-level vaccination and intent,Received a vaccination,January Week 4,,45.8,3.1564,4260,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Michigan, Overall (18+ years)",42.6 - 48.9,1,1,1,35,3,3350101
State,Michigan,Overall,18+ years,Up-to-date,Yes,January Week 4,,45.8,3.1564,4260,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Michigan, Overall (18+ years)",42.6 - 48.9,,1,1,35,3,3350101
State,Minnesota,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,January Week 4,,26.7,6.0921,293,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Minnesota, Overall (18+ years)",20.6 - 32.8,4,1,1,36,3,3360101
State,Minnesota,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,January Week 4,,5.9,3.3183,293,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Minnesota, Overall (18+ years)",2.6 - 9.3,2,1,1,36,3,3360101
State,Minnesota,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine or are unsure,January Week 4,,15,5.3768,293,0,01/27/2024 12:00:00 AM,2023-2024,"2023-2024, Minnesota, Overall (18+ years)",9.7 - 20.4,3,1,1,36,3,3360101
