Geography_Name,Geography_Level,Demographic_Level,Demographic_Name,Indicator_Label,Indicator Category Label,Influenza_Season,Month_Week,Week_Ending,Current_Season_Week_Ending_Label,Point_Estimate,CI_HalfWidth,n_unweighted,n_weighted,Suppression_Flag,Legend_Label,95 CI (%),Indicator_Category_Label_Sort,Demographic_Level_Sort_Order,Demographic_Name_Sort_Order,geography_name_order,geography_level_sort_order,Season_Sort,Legend_Sort
National,National,Urbanicity,Rural (Non-MSA),4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.267,1.5423,19327,7988860,0,"2023-2024, National. Urbanicity: Rural (Non-MSA)",25.2 - 28.3,1,6,22,1,1,1,1010622
National,National,Urbanicity,Rural (Non-MSA),Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.267,1.5423,19327,7988860,0,"2023-2024, National. Urbanicity: Rural (Non-MSA)",25.2 - 28.3,,6,22,1,1,1,1010622
National,National,Urbanicity,Suburban (MSA Non-Principal City),4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.396,1.3262,56246,39504386,0,"2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)",38.3 - 40.9,1,6,23,1,1,1,1010623
National,National,Urbanicity,Suburban (MSA Non-Principal City),Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.396,1.3262,56246,39504386,0,"2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)",38.3 - 40.9,,6,23,1,1,1,1010623
National,National,Urbanicity,Urban (MSA Principal City),4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.412,1.4268,38948,23014380,0,"2023-2024, National. Urbanicity: Urban MSA Principal City",39.8 - 42.7,1,6,24,1,1,1,1010624
National,National,Urbanicity,Urban (MSA Principal City),Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.412,1.4268,38948,23014380,0,"2023-2024, National. Urbanicity: Urban MSA Principal City",39.8 - 42.7,,6,24,1,1,1,1010624
Region 1,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.512,3.5677,9929,2814403,0,"2023-2024, Region 1. Overall (6 months-17 years)",47.6 - 54.7,1,1,1,2,2,1,1020101
Region 1,Region,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.512,3.5677,9929,2814403,0,"2023-2024, Region 1. Overall (6 months-17 years)",47.6 - 54.7,,1,1,2,2,1,1020101
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.339,1.2627,34758,26083840,0,"2023-2024, National. Age: 12-17 years",32.6 - 35.1,1,2,7,1,1,1,1010207
National,National,Age,12-17 years,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.339,1.2627,34758,26083840,0,"2023-2024, National. Age: 12-17 years",32.6 - 35.1,,2,7,1,1,1,1010207
National,National,Age,13-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.331,1.4404,26385,21537622,0,"2023-2024, National. Age: 13-17 years",31.7 - 34.5,1,2,9,1,1,1,1010209
National,National,Age,13-17 years,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.331,1.4404,26385,21537622,0,"2023-2024, National. Age: 13-17 years",31.7 - 34.5,,2,9,1,1,1,1010209
National,National,Age,5-11 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.404,1.5802,41378,27663238,0,"2023-2024, National. Age: 5-11 years",38.8 - 41.9,1,2,6,1,1,1,1010206
National,National,Age,5-11 years,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.404,1.5802,41378,27663238,0,"2023-2024, National. Age: 5-11 years",38.8 - 41.9,,2,6,1,1,1,1010206
National,National,Age,5-12 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4,1.4016,49751,32209456,0,"2023-2024, National. Age: 5-12 years",38.6 - 41.4,1,2,8,1,1,1,1010208
National,National,Age,5-12 years,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.4,1.4016,49751,32209456,0,"2023-2024, National. Age: 5-12 years",38.6 - 41.4,,2,8,1,1,1,1010208
National,National,Age,5-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.372,1.0418,76136,53747078,0,"2023-2024, National. Age: 5-17 years",36.2 - 38.3,1,2,5,1,1,1,1010205
National,National,Age,5-17 years,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.372,1.0418,76136,53747078,0,"2023-2024, National. Age: 5-17 years",36.2 - 38.3,,2,5,1,1,1,1010205
Region 3,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.436,1.8926,18514,6342487,0,"2023-2024, Region 3. Overall (6 months-17 years)",41.7 - 45.5,1,1,1,4,2,1,1040101
Region 3,Region,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.436,1.8926,18514,6342487,0,"2023-2024, Region 3. Overall (6 months-17 years)",41.7 - 45.5,,1,1,4,2,1,1040101
Region 4,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.337,2.157,16159,14128072,0,"2023-2024, Region 4. Overall (6 months-17 years)",31.5 - 35.8,1,1,1,5,2,1,1050101
Region 4,Region,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.337,2.157,16159,14128072,0,"2023-2024, Region 4. Overall (6 months-17 years)",31.5 - 35.8,,1,1,5,2,1,1050101
Region 5,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.372,1.8944,13909,11216921,0,"2023-2024, Region 5. Overall (6 months-17 years)",35.3 - 39.1,1,1,1,6,2,1,1060101
Region 5,Region,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.372,1.8944,13909,11216921,0,"2023-2024, Region 5. Overall (6 months-17 years)",35.3 - 39.1,,1,1,6,2,1,1060101
Region 6,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.343,1.724,16853,10357816,0,"2023-2024, Region 6. Overall (6 months-17 years)",32.6 - 36.0,1,1,1,7,2,1,1070101
Region 6,Region,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.343,1.724,16853,10357816,0,"2023-2024, Region 6. Overall (6 months-17 years)",32.6 - 36.0,,1,1,7,2,1,1070101
Region 9,Region,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.395,3.1398,9338,10805570,0,"2023-2024, Region 9. Overall (6 months-17 years)",36.4 - 42.6,1,1,1,10,2,1,1100101
Region 9,Region,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.395,3.1398,9338,10805570,0,"2023-2024, Region 9. Overall (6 months-17 years)",36.4 - 42.6,,1,1,10,2,1,1100101
Alabama,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.326,3.4246,2380,3130541,0,"2023-2024, Alabama. Overall (6 months-17 years)",29.2 - 36.0,1,1,1,12,3,1,1120101
Alabama,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.326,3.4246,2380,3130541,0,"2023-2024, Alabama. Overall (6 months-17 years)",29.2 - 36.0,,1,1,12,3,1,1120101
Alaska,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,1236,35320,1,"2023-2024, Alaska. Overall (6 months-17 years)", - ,1,1,1,13,3,1,1130101
Alaska,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.318,4.7728,1236,35320,0,"2023-2024, Alaska. Overall (6 months-17 years)",27.0 - 36.6,,1,1,13,3,1,1130101
Arizona,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.332,3.4552,2159,2528238,0,"2023-2024, Arizona. Overall (6 months-17 years)",29.7 - 36.6,1,1,1,14,3,1,1140101
Arizona,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.332,3.4552,2159,2528238,0,"2023-2024, Arizona. Overall (6 months-17 years)",29.7 - 36.6,,1,1,14,3,1,1140101
Arkansas,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,1844,337962,1,"2023-2024, Arkansas. Overall (6 months-17 years)", - ,1,1,1,15,3,1,1150101
Arkansas,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.329,4.6482,1844,337962,0,"2023-2024, Arkansas. Overall (6 months-17 years)",28.2 - 37.5,,1,1,15,3,1,1150101
Colorado,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.426,4.3303,2252,1900426,0,"2023-2024, Colorado. Overall (6 months-17 years)",38.3 - 47.0,1,1,1,17,3,1,1170101
Colorado,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.426,4.3303,2252,1900426,0,"2023-2024, Colorado. Overall (6 months-17 years)",38.3 - 47.0,,1,1,17,3,1,1170101
Connecticut,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.59,19.6795,1287,172402,0,"2023-2024, Connecticut. Overall (6 months-17 years)",39.3 - 78.6,1,1,1,18,3,1,1180101
Connecticut,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.59,19.6795,1287,172402,0,"2023-2024, Connecticut. Overall (6 months-17 years)",39.3 - 78.6,,1,1,18,3,1,1180101
Delaware,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.437,4.8732,1727,270782,0,"2023-2024, Delaware. Overall (6 months-17 years)",38.8 - 48.6,1,1,1,19,3,1,1190101
Delaware,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.437,4.8732,1727,270782,0,"2023-2024, Delaware. Overall (6 months-17 years)",38.8 - 48.6,,1,1,19,3,1,1190101
District of Columbia,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.536,4.3437,2884,237123,0,"2023-2024, District of Columbia. Overall (6 months-17 years)",49.3 - 57.9,1,1,1,20,3,1,1200101
District of Columbia,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.536,4.3437,2884,237123,0,"2023-2024, District of Columbia. Overall (6 months-17 years)",49.3 - 57.9,,1,1,20,3,1,1200101
Florida,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.322,3.2749,1933,2245273,0,"2023-2024, Florida. Overall (6 months-17 years)",28.9 - 35.5,1,1,1,21,3,1,1210101
Florida,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.322,3.2749,1933,2245273,0,"2023-2024, Florida. Overall (6 months-17 years)",28.9 - 35.5,,1,1,21,3,1,1210101
Georgia,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.323,4.7472,1740,2089444,0,"2023-2024, Georgia. Overall (6 months-17 years)",27.6 - 37.1,1,1,1,22,3,1,1220101
Georgia,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.323,4.7472,1740,2089444,0,"2023-2024, Georgia. Overall (6 months-17 years)",27.6 - 37.1,,1,1,22,3,1,1220101
Hawaii,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.354,3.4591,2226,195523,0,"2023-2024, Hawaii. Overall (6 months-17 years)",32.0 - 38.9,1,1,1,24,3,1,1240101
Hawaii,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.354,3.4591,2226,195523,0,"2023-2024, Hawaii. Overall (6 months-17 years)",32.0 - 38.9,,1,1,24,3,1,1240101
Maine,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.411,4.3928,1813,357962,0,"2023-2024, Maine. Overall (6 months-17 years)",36.7 - 45.4,1,1,1,32,3,1,1320101
Maine,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.411,4.3928,1813,357962,0,"2023-2024, Maine. Overall (6 months-17 years)",36.7 - 45.4,,1,1,32,3,1,1320101
Maryland,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.488,4.1768,3101,551521,0,"2023-2024, Maryland. Overall (6 months-17 years)",44.6 - 52.9,1,1,1,33,3,1,1330101
Maryland,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.488,4.1768,3101,551521,0,"2023-2024, Maryland. Overall (6 months-17 years)",44.6 - 52.9,,1,1,33,3,1,1330101
Massachusetts,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.531,4.8671,2251,1922199,0,"2023-2024, Massachusetts. Overall (6 months-17 years)",48.3 - 58.0,,1,1,34,3,1,1340101
Massachusetts,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.531,4.8671,2251,1922199,0,"2023-2024, Massachusetts. Overall (6 months-17 years)",48.3 - 58.0,1,1,1,34,3,1,1340101
Michigan,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.359,4.4459,1703,750346,0,"2023-2024, Michigan. Overall (6 months-17 years)",31.4 - 40.3,1,1,1,35,3,1,1350101
Michigan,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.359,4.4459,1703,750346,0,"2023-2024, Michigan. Overall (6 months-17 years)",31.4 - 40.3,,1,1,35,3,1,1350101
Minnesota,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.402,5.1192,2031,1825255,0,"2023-2024, Minnesota. Overall (6 months-17 years)",35.1 - 45.4,1,1,1,36,3,1,1360101
Minnesota,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.402,5.1192,2031,1825255,0,"2023-2024, Minnesota. Overall (6 months-17 years)",35.1 - 45.4,,1,1,36,3,1,1360101
Mississippi,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,1548,324955,1,"2023-2024, Mississippi. Overall (6 months-17 years)", - ,1,1,1,37,3,1,1370101
Mississippi,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.268,7.2579,1548,324955,0,"2023-2024, Mississippi. Overall (6 months-17 years)",19.6 - 34.1,,1,1,37,3,1,1370101
Missouri,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,,,1544,466599,1,"2023-2024, Missouri. Overall (6 months-17 years)", - ,1,1,1,38,3,1,1380101
Missouri,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.356,3.9057,1544,466599,0,"2023-2024, Missouri. Overall (6 months-17 years)",31.7 - 39.5,,1,1,38,3,1,1380101
Montana,State,Overall,Overall,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 4,2023-11-25,2023-11-25,0.304,5.9537,1869,391874,0,"2023-2024, Montana. Overall (6 months-17 years)",24.5 - 36.4,1,1,1,39,3,1,1390101
Montana,State,Overall,Overall,Up-to-date,Yes,2023-2024,November Week 4,2023-11-25,2023-11-25,0.304,5.9537,1869,391874,0,"2023-2024, Montana. Overall (6 months-17 years)",24.5 - 36.4,,1,1,39,3,1,1390101
National,National,Age,12-17 years,Up-to-date,Yes,2023-2024,October Week 2,2023-10-07,2023-10-07,0.156,0.9057,34758,25255452,0,"2023-2024, National. Age: 12-17 years",14.7 - 16.5,,2,7,1,1,1,1010207
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.156,0.9057,34758,25255452,0,"2023-2024, National. Age: 12-17 years",14.7 - 16.5,1,2,7,1,1,1,1010207
National,National,Age,12-17 years,Up-to-date,Yes,2023-2024,October Week 3,2023-10-14,2023-10-14,0.173,1.0167,34758,26027138,0,"2023-2024, National. Age: 12-17 years",16.2 - 18.3,,2,7,1,1,1,1010207
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.173,1.0167,34758,26027138,0,"2023-2024, National. Age: 12-17 years",16.2 - 18.3,1,2,7,1,1,1,1010207
National,National,Age,12-17 years,Up-to-date,Yes,2023-2024,October Week 4,2023-10-21,2023-10-21,0.214,1.4066,34758,25573242,0,"2023-2024, National. Age: 12-17 years",20.0 - 22.8,,2,7,1,1,1,1010207
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 4,2023-10-21,2023-10-21,0.214,1.4066,34758,25573242,0,"2023-2024, National. Age: 12-17 years",20.0 - 22.8,1,2,7,1,1,1,1010207
National,National,Age,12-17 years,Up-to-date,Yes,2023-2024,October Week 5,2023-10-28,2023-10-28,0.226,1.6488,34758,26055442,0,"2023-2024, National. Age: 12-17 years",21.0 - 24.3,,2,7,1,1,1,1010207
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.226,1.6488,34758,26055442,0,"2023-2024, National. Age: 12-17 years",21.0 - 24.3,1,2,7,1,1,1,1010207
National,National,Age,12-17 years,Up-to-date,Yes,2023-2024,November Week 1,2023-11-04,2023-11-04,0.311,0.9218,34758,25347477,0,"2023-2024, National. Age: 12-17 years",30.2 - 32.0,,2,7,1,1,1,1010207
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 1,2023-11-04,2023-11-04,0.311,0.9218,34758,25347477,0,"2023-2024, National. Age: 12-17 years",30.2 - 32.0,1,2,7,1,1,1,1010207
National,National,Age,12-17 years,Up-to-date,Yes,2023-2024,November Week 2,2023-11-11,2023-11-11,0.327,1.1458,34758,25477408,0,"2023-2024, National. Age: 12-17 years",31.6 - 33.9,,2,7,1,1,1,1010207
National,National,Age,12-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,November Week 2,2023-11-11,2023-11-11,0.327,1.1458,34758,25477408,0,"2023-2024, National. Age: 12-17 years",31.6 - 33.9,1,2,7,1,1,1,1010207
National,National,Age,13-17 years,Up-to-date,Yes,2023-2024,October Week 2,2023-10-07,2023-10-07,0.15,1.0211,26385,21657357,0,"2023-2024, National. Age: 13-17 years",14.0 - 16.1,,2,9,1,1,1,1010209
National,National,Age,13-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 2,2023-10-07,2023-10-07,0.15,1.0211,26385,21657357,0,"2023-2024, National. Age: 13-17 years",14.0 - 16.1,1,2,9,1,1,1,1010209
National,National,Age,13-17 years,Up-to-date,Yes,2023-2024,October Week 3,2023-10-14,2023-10-14,0.166,1.1148,26385,21511625,0,"2023-2024, National. Age: 13-17 years",15.5 - 17.7,,2,9,1,1,1,1010209
National,National,Age,5-12 years,Up-to-date,Yes,2023-2024,February Week 4,2024-02-24,2024-02-24,0.516,1.1001,49751,32332359,0,"2023-2024, National. Age: 5-12 years",50.5 - 52.7,,2,8,1,1,1,1010208
National,National,Age,5-17 years,Up-to-date,Yes,2023-2024,February Week 4,2024-02-24,2024-02-24,0.485,0.8633,76136,52814662,0,"2023-2024, National. Age: 5-17 years",47.7 - 49.4,,2,5,1,1,1,1010205
National,National,Age,6 months-4 years,Up-to-date,Yes,2023-2024,February Week 4,2024-02-24,2024-02-24,0.583,1.5609,38385,16968844,0,"2023-2024, National. Age: 6 months-4 years",56.8 - 59.9,,2,3,1,1,1,1010203
National,National,Age,13-17 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 3,2023-10-14,2023-10-14,0.166,1.1148,26385,21511625,0,"2023-2024, National. Age: 13-17 years",15.5 - 17.7,1,2,9,1,1,1,1010209
National,National,Age,5-11 years,Up-to-date,Yes,2023-2024,October Week 5,2023-10-28,2023-10-28,0.272,1.6433,41378,27891727,0,"2023-2024, National. Age: 5-11 years",25.6 - 28.9,,2,6,1,1,1,1010206
National,National,Age,5-11 years,4-level vaccination and intent,Received a vaccination,2023-2024,October Week 5,2023-10-28,2023-10-28,0.272,1.6433,41378,27891727,0,"2023-2024, National. Age: 5-11 years",25.6 - 28.9,1,2,6,1,1,1,1010206
